岗位描述,技术栈
岗位职责：1、负责K/3 Cloud项目的二次开发，以功能点开发及客户化报表开发为主，负责开发测试，保证系统顺利上线；2、负责K/3项目服务阶段的服务跟进和调优，对于进入服务期的客户进行原开发内容的维护和调优；3、编写相关技术文档；4、完成上级安排的其它事项。任职资格：1、工作经验： 1年及以上开发经验，应届毕业生（2023届）表现优秀者亦可考虑；2、学历及专业：大专以上学历、计算机、信息管理相关专业；3、专业技能：熟悉面向对象编程，熟悉C#语言，理解.net(c#)中的泛型、反射、linq、web api等技术，具有严谨的编码习惯；4、熟悉SQL SERVER、Oracle数据库技术，熟练使用索引、视图、存储过程；5、素质要求：具有较强的团队协作精神和责任心，具备良好的学习能力，独立分析问题和解决问题的能力；6、优先录用：具有金蝶K/3 Cloud开发经验、ERP项目开发、实施经验优先。职能类别： 软件工程师 ERP技术开发 关键字：.net 开发 ERP 二次开发 软件 互联网,"技术栈：

1. C#
2. .NET
3. 面向对象编程
4. SQL SERVER
5. Oracle
6. LINQ
7. Web API
8. 金蝶K/3 Cloud"
工作内容： 1、主要负责制造中心信息化建设开发，以 U9、手持机等系统功能开发和维护为主；2、参与项目的需求分析、方案讨论、架构设计、及编程开发；3、高质量地完成软件设计、开发实施相关的技术文档；4、按照部门要求完成部门交办的其它工作任务。 任职要求： 1、本科及以上学历，计算机相关专业；2、1 年以上 ASP.Net（C#）项目开发与设计经验；3、熟练使用 VS.Net、UBF Studio 开发软件；4、具有用友 U9 系统管理及开发经验，熟悉 SV、BP、BE 插件、UI 插件等开发；5、具有丰富的 HTML、CSS、H5、JavaScript、jQuery、JSon 等实际项目开发经验，参与多 项项目开发经验；6、熟练使用 SQL Server 数据库，熟练使用视图、索引、存储过程、触发器等技术；拥有千 万级数据量处理及性能优化经验；7、有良好的沟通表达能力，工作积极主动，责任心强；8、有智能制造管理系统开发经验、懂 Phyton 开发者优先。,"技术栈：

1. ASP.Net
2. C#
3. VS.Net
4. UBF Studio
5. 用友 U9 系统
6. HTML
7. CSS
8. H5
9. JavaScript
10. jQuery
11. Json
12. SQL Server
13. Phyton"
根据需求完成公司项目编码工作可以与需求分析师进行无缝对接需求功能对c#熟悉，熟悉sqlserver数据库熟悉jquey bootstrap等前端技术,"技术栈: 

1. C#
2. SQL Server
3. jQuery
4. Bootstrap"
"岗位职责：1、根据需求设计文档，可独立快速完成业务功能点编码工作。2、新产品开发工作。3、为现有产品提供技术支持。4、扩充底层类库、研发新的基础功能组件。岗位要求：1、211、985软件工程等计算机相关专业，本科以上学历，三年以上工作经验，对编程有强烈兴趣; 有医疗信息化行业经验者优先2、熟悉.net平台开发，熟悉B/S架构，熟悉MVC、API框架开发; 3、至少熟悉ORACLE、SQLServer等数据库中的一种；4、熟悉.net.core,数据挖掘、性能调优方面有经验者优先；5、熟悉H5、CSS、VUE等前端相关技术的优先。","技术栈: 

1. .NET
2. B/S架构
3. MVC
4. API
5. ORACLE
6. SQLServer
7. .NET Core
8. 数据挖掘
9. H5
10. CSS
11. VUE"
"硬性条件：1、全日制本科毕业，计算机相关专业2、至少4年.NET项目开发经验（非winform）技能要求：1、您起码要有3个中型以上的项目全栈开发经验， 能独立负责项目开发2、公司技术主要是ASP.NET MVC ，MSSQL，后期逐步转.NET CORE ，您要熟悉微信开发，身份鉴权，接口安全规范，数据库设计、存储过程、函数、性能优化，有高并发，性能优化的处理经验3、熟悉前端，比如jq,js,vue等，并有实际的项目开发经验，协助前端解决技术问题 入职要您将做什么：1、参与项目需求分析，需求讨论，2、负责功能代码编写，功能 测试，接口文档编写，配合前端 实现完整功能。 3、产品需求分析、数据库设计、带领组员完成从0到1的项目开发，把控好项目质量和进度，项目上线后的运营维护项目情况1、公司的产品主要是ERP，OA,CRM，进销存,微信公众号等，所有的项目是都是公司自己的产品，没有外包2、已经上线的项目功能迭代、完善公司的内部OA、旧的项目不是前后分离的，有计划把旧项目重构前后分离 ， 每个产品，都会做PC端和 移动端，移动端用uni-app 福利待遇：1 收入： 4年：底薪 12k +业绩奖金+项目提成, 7年：底薪 15k+ 业绩奖金+项目提成 2.其他：每周休一 朝九晚六，五险 、春节15天带薪假期，餐补，全勤，生日福利，正式员工1周年后N+1天带薪年假，最多5天，每天零食，每周五下午茶，不定期聚餐。","技术栈：

1. .NET
2. ASP.NET MVC
3. MSSQL
4. 微信开发
5. jq
6. js
7. Vue
8. MSSQL存储过程
9. MSSQL函数"
"Net中级开发工程师工作职责1.参与需求分析，撰写详细的产品需求/详细设计文档2. 按照产品开发计划，完成产品功能编码开发和测试3.遵循公司开发规范及要求,编写相关技术文档。任职要求1.计算机或相关专业学历，2年以上asp.net开发经验2.熟悉B/S架构。熟练掌握各种开发技术及开源框架，如.net Core/WebApi/MVC/Linq/EF/Dapper等3.有扎实的编程基础，理解OOP、AOP、IOC，熟悉常用的设计模式，有良好的编程习惯4.熟练掌握Mssql /Postgresql//mysql等数据库开发与调优；5.熟练前端开发技术及常见开源组件如Html/CSS/Bootstrap/Jquery/Vue/React/angularjs等;6.具有较强的团队协作精神和责任心，具备良好的学习能力，独立分析问题和解决问题的能力。员工福利： 1、股权激励、高新技术企业内部晋升晋级机会；2、完善的社保政策，社保+公积金；3、周末双休和法定节假日按国家规定放假；4、年终奖和带薪年假；5、面向全体员工的充电培训机会；6、下午茶多多；7、宽敞，舒适的工作环境，配备微波炉，冰箱；8、节日福利、生日福利。9、公司地址指引图片放在公司相册里。","技术栈:

1. ASP.NET
2. .NET Core
3. WebApi
4. MVC
5. Linq
6. EF
7. Dapper
8. MSSQL
9. Postgresql
10. Mysql
11. Html
12. CSS
13. Bootstrap
14. Jquery
15. Vue
16. React
17. AngularJS"
"岗位职责：1、负责公司winform,wpf,web项目开发及维护；2、按照项目相关资料实现功能需求；3、编写高质量的代码和项目测试；4、参与技术难题攻关、学习并引入新技术解决一些项目问题。任职资格：1、能够独立开发工作，有较强的逻辑思维能力，肯钻研，肯学习。2、熟练掌握asp.net(c#)、html、css+div，winform,wpf,等开发技术；3、熟练的掌握.net framework ,.net core技术体系;4、熟练掌握sql server数据库开发，能熟练编写sql语句；6、熟悉b/s或c/s架构系统的开发；7、具有良好的团队精神、责任感强，以及良好的沟通能力及技巧。8. 审时度势，根据公司发展的需要，积极学习新的技能。9.统招本科毕业，3-5年相关经验。有前端开发经验者优先：1. 精通javascript（ES5/6）、CSS，CSS3科科，Html5，jQuery等Web前端技术；2. 精通vue, react等前端框架，并对Vue核心原理有较深理解，熟练使用element-ui框架3. 精通nodejs、npm、webpack 等前端工具4. 熟悉http协议，掌握前端调试、性能优化、web安全等前端技术；5. 熟悉前端优化，了解各主流浏览器特性，使页面兼容主流浏览器6.熟练掌握页面布局方式，比如珊格、盒子模型（flex）等；7.可独立面对客户，解决相关问题；8.有带团队经验并熟讲粤语者优先，并不介意常出差香港，有意愿长驻香港总部工作也可以。福利待遇：1. 年假6-10天2. 五险一金3. 双休，法定节假日假期4. 餐费津贴5. 总公司提供免费学习机会，鼓励并支持员工进修相关科目。上班地址：广州番禺区南村镇江南村工业一区一横路11号","技术栈：

1. ASP.NET
2. C#
3. HTML
4. CSS
5. .NET Framework
6. .NET Core
7. SQL Server
8. JavaScript (ES5/6)
9. jQuery
10. Vue
11. React
12. Node.js
13. NPM
14. Webpack
15. Element-UI
16. Winform
17. WPF"
"岗位职责：1.参与公司系统重构工作，并维护已开发完成的产品;2.良好的职业修养、责任心强；良好的沟通能力和团队协作精神;任职要求：1、熟悉Visual Studio开发环境，及Git等版本控制工具;2、熟练掌握.Net Framework、Asp.Net Web Api、.Net Core编程;3、熟悉EF Core、Dapper、SqlSugar;4、熟悉面向对象技术，及设计模式，多线程技术，及并发编程，依赖注入、异步多线程等技术应用;5、熟悉 SignalR或者WebSocket相关实时消息通信技术;6、熟悉常用中间件:Redis,RabbitMQ,Log4Net等;【在宏脉您可以获得】1、竞争薪酬：提供业内具有竞争性的薪酬待遇，年度晋升调薪机会，成长越多收获越多；2、优厚激励：全勤奖、季度绩效奖金、年度绩效奖，业绩多多回报多多；3、贴心保障：五险一金、健康体检、商业保险，让你无需顾虑勇往直前；4、轻松工作：各种带薪年假、福利假，全薪病假，讲效率求结果；5、温暖补助：温馨的节日礼金、生日礼物、加班打车报销，照顾你的努力和付出；6、活动丰富：年会、周年庆、年度旅游、节日活动、生日会，每个重要时刻都与你庆祝。【我们希望你拥有】内归因：在遇到问题时能先从自身出发，不断地自我调整、自我激励，从而达成目标和结果；钝感力：在面对各种问题和干扰时，仍能保持从容淡定，将注意力关注在自身工作上；执行力：在接到任务时能积极思考如何实现任务，不找借口，高效完成。【办公地址】地铁：地铁7号线及18号线，南村万博B出口，骑行5分钟或走路12分钟，公司地处万博CBD，万达商业中心，职业腾飞重点区域；25分钟到天河，15分钟到南站，交通便利，宜居宜工作。","技术栈：

1. Visual Studio
2. Git
3. .Net Framework
4. Asp.Net Web Api
5. .Net Core
6. EF Core
7. Dapper
8. SqlSugar
9. SignalR
10. WebSocket
11. Redis
12. RabbitMQ
13. Log4Net"
岗位职责：1.负责日常产品的研发工作，开发方向：智能科技类软件平台，包含物联网平台开发，云端管理平台，移动端控制APP，小程序，企业管理类软件等；2.负责系统的设计、编码、调试、测试等工作。岗位要求：1.一年以上相关岗位的工作经验，大专或以上学历的计算机软件专业；2.掌握C#、ASP.NET 、.NET core、MVC、JavaScript、JQuery、Ajax、Vue开发语言。3.数据库掌握SQL Server、MY SQL；4.熟练掌握面向对象设计技术及UML；5.具有一定的独立承担项目开发、文档编撰能力6.具有良好的团队合作精神，积极主动，有较好的学习、沟通能力。,"技术栈:

1. C#
2. ASP.NET
3. .NET Core
4. MVC
5. JavaScript
6. JQuery
7. Ajax
8. Vue
9. SQL Server
10. MY SQL"
岗位技能要求：1、计算机基础扎实，精通C＃、熟悉.Net Core 、MVC框架，了解.Net三层架构，具有B/S项目开发经验；2、熟练掌握JavaScript、jQuery、Html5、Css等前端技术；3、精通SQL SERVER的使用、管理及优化设计，熟悉其他主流数据库（如mySQL、Oracle等）；4、计算机相关专业大专以上学历，能够运行演示独立设计（或主要参与）的代表项目优先；任职要求：1、根据项目要求，按质按量完成项目负责人安排的需求开发任务；2、负责项目功能模块的详细设计、编码实现和单元测试；3、有良好的技术文档习惯，有规范化的编码习惯，注重代码质量；4、善于沟通、合作，具有团队精神；良好的自学能力，思维能力,"技术栈：

1. C＃
2. .Net Core
3. MVC框架
4. JavaScript
5. jQuery
6. Html5
7. Css
8. SQL SERVER
9. mySQL
10. Oracle"
